site_id,lon,lat
145,-121.81269,50.69872
146,-122.33205,50.69577
147,-122.30254,50.69577
148,-121.93368,50.69577
149,-121.92777,50.69577
150,-121.91597,50.69577
151,-121.69465,50.69577
152,-121.94548,50.69282
153,-121.92187,50.69282
154,-122.34680,50.68987
155,-121.95433,50.68987
156,-121.92187,50.68987
157,-121.91892,50.68987
158,-121.93958,50.68692
159,-121.92482,50.68692
160,-121.91892,50.68692
161,-121.95138,50.68396
162,-121.93368,50.68396
163,-121.92482,50.68396
164,-121.93663,50.68101
165,-121.88646,50.68101
166,-121.94548,50.67806
167,-121.93663,50.67806
168,-121.69465,50.67806
169,-122.37041,50.67511
170,-121.93368,50.67511
171,-121.91597,50.67511
172,-121.80679,50.67511
173,-121.69465,50.67511
174,-121.97204,50.67216
175,-121.94843,50.67216
176,-121.92482,50.67216
177,-121.89236,50.67216
178,-121.98679,50.66921
179,-121.97204,50.66921
180,-121.94843,50.66921
181,-121.93958,50.66921
182,-121.88646,50.66921
183,-121.92777,50.66626
184,-121.90417,50.66626
185,-121.98974,50.66331
186,-121.98679,50.66331
187,-121.92777,50.66331
188,-121.90712,50.66331
189,-121.88941,50.66331
190,-121.69465,50.66331
191,-121.80384,50.66036
192,-121.98679,50.65741
193,-121.91892,50.65446
194,-121.88941,50.65150
195,-121.88351,50.65150
196,-121.69465,50.65150
197,-122.41172,50.64855
198,-121.90122,50.64560
199,-121.89531,50.64265
200,-121.78613,50.64265
201,-121.79793,50.63970
202,-121.79498,50.63970
203,-121.69465,50.63970
204,-121.78318,50.63675
205,-121.79793,50.63380
206,-121.79498,50.63380
207,-121.69465,50.63380
208,-121.88646,50.63085
209,-121.85400,50.62495
210,-121.88056,50.62200
211,-121.87466,50.62200
212,-121.85990,50.62200
213,-121.87466,50.61904
214,-121.84810,50.61904
215,-121.80088,50.61904
216,-121.86581,50.61609
217,-121.86581,50.60429
218,-121.84220,50.60429
219,-122.43238,50.60134
220,-121.85400,50.60134
221,-121.79793,50.60134
222,-121.79203,50.59839
223,-121.85695,50.59249
224,-121.84810,50.58954
225,-122.46484,50.58658
226,-121.78318,50.58658
227,-125.57806,50.57773
228,-121.77728,50.57773
229,-121.83925,50.57478
230,-121.82449,50.57183
231,-121.80974,50.57183
232,-121.77433,50.57183
233,-122.64780,50.56888
234,-122.64190,50.56888
235,-122.62714,50.56888
236,-122.60058,50.56888
237,-121.83039,50.56888
238,-122.65960,50.56593
239,-122.57698,50.56298
240,-121.82449,50.56003
241,-121.81859,50.56003
242,-122.47960,50.55412
243,-122.45894,50.55412
244,-121.80974,50.55117
245,-122.47960,50.54822
246,-122.46189,50.54822
247,-122.46484,50.54232
248,-122.46189,50.54232
249,-122.48845,50.53937
250,-121.76842,50.53347
251,-122.50615,50.53052
252,-121.74482,50.52757
253,-122.49435,50.52462
254,-121.76842,50.52166
255,-121.73892,50.52166
256,-125.60167,50.51871
257,-125.79643,50.51576
258,-125.61347,50.51576
259,-122.50320,50.51576
260,-125.54265,50.51281
261,-122.72157,50.50986
262,-122.52976,50.50986
263,-122.51501,50.50986
264,-122.97830,50.50691
265,-122.54452,50.50691
266,-121.71826,50.50691
267,-122.55632,50.50396
268,-121.72711,50.50396
269,-125.62527,50.50101
270,-125.81118,50.49806
271,-122.56517,50.49806
272,-121.70941,50.49511
273,-122.97240,50.49216
274,-121.70350,50.49216
275,-122.95764,50.48625
276,-122.59173,50.48330
277,-122.94584,50.48035
278,-122.61534,50.48035
279,-122.95174,50.47740
280,-122.94289,50.47445
281,-122.63304,50.47445
282,-122.64780,50.47150
283,-122.93994,50.46855
284,-122.65665,50.46855
285,-122.66550,50.46265
286,-122.93109,50.45970
287,-125.36559,50.45674
288,-121.69465,50.45674
289,-122.68321,50.45379
290,-122.92518,50.44789
291,-122.91338,50.44199
292,-122.69206,50.44199
293,-121.69465,50.43904
294,-125.86135,50.43609
295,-125.71675,50.43019
296,-122.90748,50.43019
297,-121.69465,50.42724
298,-122.90453,50.42428
299,-121.69465,50.42133
300,-125.87315,50.41838
301,-125.86430,50.41838
302,-125.13542,50.41838
303,-122.70091,50.41543
304,-125.87905,50.41248
305,-125.50428,50.41248
306,-125.16788,50.41248
307,-125.13837,50.41248
308,-122.89567,50.41248
309,-125.17378,50.40953
310,-122.89863,50.40953
311,-125.88495,50.40363
312,-125.18559,50.40363
313,-122.88682,50.40363
314,-125.14722,50.40068
315,-124.64262,50.40068
316,-122.70387,50.40068
317,-121.69465,50.39773
318,-125.13542,50.39182
319,-122.87502,50.39182
320,-122.88092,50.38887
321,-122.87502,50.38592
322,-125.15903,50.38297
323,-125.14427,50.38297
324,-121.69465,50.38297
325,-125.90266,50.38002
326,-125.84364,50.38002
327,-125.31838,50.38002
328,-122.87502,50.38002
329,-121.69465,50.38002
330,-125.15903,50.37412
331,-125.14132,50.37412
332,-121.69465,50.37412
333,-125.90856,50.37117
334,-122.85731,50.37117
335,-125.14132,50.36822
336,-125.91151,50.36527
337,-122.73337,50.36527
338,-121.69465,50.36527
339,-125.76987,50.36232
340,-125.13542,50.36232
341,-122.84551,50.36232
342,-125.91741,50.35936
343,-122.84846,50.35936
344,-125.91151,50.35641
345,-125.91446,50.35346
346,-121.69465,50.35346
347,-125.91446,50.35051
348,-125.90561,50.35051
349,-125.91741,50.34756
350,-122.73337,50.34756
351,-125.91446,50.34461
352,-125.91151,50.34461
353,-125.15017,50.34461
354,-122.82780,50.34461
355,-122.04876,50.34461
356,-125.90561,50.34166
357,-125.39805,50.34166
358,-122.73042,50.33871
359,-125.91741,50.33281
360,-125.48953,50.33281
361,-122.81600,50.33281
362,-122.72747,50.33281
363,-122.72452,50.33281
364,-122.66255,50.33281
365,-122.72452,50.32985
366,-121.69465,50.32985
367,-122.81010,50.32690
368,-122.79239,50.32690
369,-122.78944,50.32690
370,-122.65960,50.32690
371,-125.93217,50.32395
372,-122.80125,50.32395
373,-122.76288,50.32395
374,-122.75698,50.32100
375,-122.72157,50.32100
376,-125.22100,50.31805
377,-122.80420,50.31805
378,-122.79534,50.31805
379,-122.77174,50.31805
380,-122.76583,50.31805
381,-122.70682,50.31805
382,-122.69796,50.31805
383,-122.69206,50.31805
384,-125.92036,50.31510
385,-122.76879,50.31510
386,-122.75698,50.31510
387,-122.71862,50.31510
388,-122.67731,50.31510
389,-125.92922,50.31215
390,-125.22100,50.31215
391,-122.79829,50.31215
392,-122.78059,50.31215
393,-122.76288,50.31215
394,-122.75403,50.31215
395,-122.74223,50.31215
396,-122.73633,50.31215
397,-122.72747,50.31215
398,-122.68321,50.31215
399,-122.65665,50.31215
400,-121.69465,50.31215
401,-125.91446,50.30920
402,-122.80715,50.30920
403,-122.73928,50.30920
404,-122.71567,50.30920
405,-122.67141,50.30920
406,-122.66845,50.30920
407,-122.66550,50.30920
408,-122.66255,50.30920
409,-122.65370,50.30920
410,-122.64780,50.30920
411,-122.63895,50.30920
412,-122.63599,50.30920
413,-125.90266,50.30625
414,-125.22100,50.30625
415,-122.63304,50.30625
416,-122.62714,50.30625
