lon,lat,vs30
-116.1410186,50.63089796,574.5653076
-116.3147549,50.72079966,460.9869995
-116.055371,50.59728027,792.8978882
-116.3413943,50.88321535,619.8141479
-116.0835736,50.65221698,629.258728
-116.1085245,50.6225624,609.6357422
-116.3224985,50.86617444,477.4085999
-116.3248348,50.83978896,624.4473877
-116.1453657,50.5297297,523.84021
-116.1009324,50.59425962,469.6775208
-116.2865559,50.82540152,314.7008057
-116.2102699,50.75898815,493.7263184
-116.0732547,50.5947125,335.7638245
-116.2789917,50.83505997,691.9806519
-116.2786664,50.82288547,492.6543579
-116.2893758,50.84439501,515.9896851
-116.3781229,50.88320676,549.9862671
-116.3122214,50.83122712,489.405426
-116.1968386,50.75749425,525.1704102
-116.125864,50.5836222,323.1908875
-116.1220471,50.52997797,406.6650391
-116.2506332,50.80988298,558.0789185
-116.4038964,50.94581592,618.7034912
-116.3577679,50.85765915,693.850769
-116.2714121,50.82411936,492.6543579
-116.4836794,50.93075918,900
-116.2926527,50.81451545,702.1762695
-116.0795469,50.62299153,494.7295227
-116.0100187,50.51772221,464.0715637
-116.0103215,50.53759512,467.7129517
-116.0347058,50.54140871,511.7701111
-116.0095476,50.52575875,433.5949097
-116.0019978,50.52563096,525.9849854
-116.0342011,50.53534605,520.6662598
-116.0294685,50.5561257,550.7088623
-116.0263384,50.50852567,392.7696838
-116.0438542,50.52132311,430.4890442
-116.0394014,50.51855457,495.958374
-116.0321064,50.51187305,392.7055054
-116.0293954,50.50487115,392.7055054
-116.0350769,50.5035745,531.9332275
-116.042559,50.50177031,581.7040405
-116.0407066,50.47880406,346.3667603
-116.0277138,50.48206836,618.9789429
-116.0393529,50.4987035,581.7040405
-116.0489482,50.48429647,377.1734009
-116.030135,50.48705561,621.6114502
-116.0268741,50.46609149,623.0783081
-116.0263146,50.47893506,687.4046631
-115.9897326,50.49747148,369.1502686
-115.9840419,50.4521258,417.3684998
-115.9978644,50.49136043,492.7074585
-115.9839678,50.45338794,417.3684998
-116.0190222,50.46499876,573.1220093
-115.9901361,50.49828855,369.1502686
-116.0141834,50.46466395,573.1220093
-115.9576658,50.4655156,477.8202209
-115.9708548,50.49067024,484.0068665
-115.9588052,50.48608559,699.5844116
-115.9772919,50.4741684,454.811615
-115.9852377,50.48096216,484.0589905
-115.9787073,50.46354571,449.7090149
-115.9480831,50.46551057,476.9961548
-115.9489427,50.47602986,547.305603
-115.8792089,50.38509283,550.0629883
-115.9243979,50.4424459,436.2240295
-115.8707301,50.37589424,698.2739258
-115.9749357,50.44793176,476.8225708
-115.9224787,50.43300936,533.7803955
-115.9722245,50.45498839,452.8470154
-115.9171063,50.45266835,611.7438965
-115.9427142,50.42753867,451.7868042
-115.8660299,50.37140995,698.2739258
-115.9519377,50.45890251,509.9237976
-115.8691648,50.3364307,452.5327454
-115.8627127,50.35527514,595.2234497
-115.8269549,50.33832954,900
-115.8355346,50.33576026,900
-115.6935972,49.69962662,567.3700562
-114.9032133,49.71796912,756.8650513
-114.8939519,49.73482367,565.2223511
-114.8970151,49.74252792,768.7875366
-114.8906789,49.73948355,464.3001709
-117.463413,50.06144414,600
-117.294086,49.95220153,900
-117.6041087,50.23672006,599.4815674
-117.2522468,50.02118454,900
-117.2930543,49.95938114,900
-117.3372351,49.99611485,854.8239136
-117.2681646,49.99741304,900
-117.1973364,49.97656377,433.8072815
-117.4105869,49.92755838,759.6326294
-117.3705182,49.98566,600
-117.4195852,50.0346213,765.6740723
-117.4543248,50.08337888,792.6835327
-117.5651006,49.61673849,900
-117.5237578,49.65987075,522.7776489
-117.599394,49.58573446,900
-117.6299274,49.57277299,711.2969971
-117.5956393,49.58833511,463.2909546
-117.6484718,49.54290585,504.5241089
-117.591054,49.59076205,463.2909546
-117.5848408,49.58943143,762.3145142
-117.5513375,49.61418922,590.5776367
-117.4904451,49.66297824,900
-117.6225413,49.57639319,900
-117.6485665,49.5474837,900
-117.3957687,49.48121779,775.0791016
-117.4122801,49.48529787,584.4321899
-117.4416019,49.47291138,588.2305908
-117.4700724,49.45850252,900
-117.5174339,49.45707972,692.1829224
-117.4681305,49.45685385,900
-117.5196962,49.45089943,601.2140503
-117.4756548,49.45998088,712.2486572
-117.4805155,49.45890542,489.0043335
